"time","num"
989,5
989,7
989,31
989,33
989,36
989,39
988,5
988,6
988,10
988,22
988,34
988,41
987,3
987,14
987,15
987,24
987,25
987,36
986,4
986,11
986,17
986,30
986,36
986,43
985,3
985,11
985,19
985,26
985,29
985,38
984,14
984,23
984,24
984,28
984,37
984,38
983,15
983,19
983,32
983,35
983,36
983,38
982,15
982,19
982,21
982,22
982,29
982,40
981,14
981,19
981,22
981,23
981,31
981,37
980,15
980,20
980,23
980,35
980,38
980,42
979,9
979,12
979,16
979,18
979,27
979,38
978,3
978,11
978,19
978,30
978,38
978,42
977,10
977,15
977,17
977,27
977,42
977,43
976,6
976,13
976,22
976,28
976,42
976,43
975,3
975,11
975,13
975,27
975,29
975,36
974,2
974,3
974,29
974,30
974,32
974,43
973,1
973,5
973,6
973,12
973,30
973,31
972,2
972,7
972,17
972,18
972,21
972,40
971,2
971,3
971,4
971,12
971,22
971,29
970,2
970,4
970,18
970,23
970,31
970,38
969,3
969,9
969,19
969,22
969,23
969,40
968,6
968,10
968,15
968,20
968,23
968,26
967,1
967,11
967,26
967,30
967,32
967,40
966,10
966,22
966,31
966,34
966,36
966,43
965,10
965,12
965,19
965,20
965,21
965,22
964,2
964,21
964,23
964,29
964,30
964,43
963,4
963,23
963,29
963,31
963,32
963,35
962,4
962,6
962,10
962,24
962,32
962,37
961,5
961,11
961,17
961,18
961,19
961,25
960,5
960,18
960,23
960,32
960,35
960,39
959,1
959,16
959,18
959,28
959,36
959,38
958,9
958,18
958,23
958,24
958,26
958,30
957,2
957,11
957,22
957,32
957,36
957,42
956,1
956,4
956,6
956,22
956,24
956,38
955,14
955,19
955,27
955,28
955,37
955,42
954,3
954,23
954,24
954,28
954,29
954,42
953,2
953,9
953,17
953,38
953,39
953,42
952,10
952,16
952,22
952,25
952,31
952,39
951,11
951,15
951,22
951,23
951,26
951,30
950,2
950,6
950,16
950,24
950,30
950,41
949,5
949,19
949,26
949,36
949,39
949,43
948,7
948,16
948,17
948,28
948,39
948,43
947,1
947,6
947,21
947,23
947,27
947,40
946,2
946,9
946,12
946,16
946,31
946,36
945,3
945,10
945,15
945,23
945,36
945,37
944,7
944,20
944,25
944,29
944,33
944,37
943,9
943,10
943,14
943,15
943,39
943,43
942,2
942,3
942,14
942,27
942,28
942,38
941,5
941,12
941,22
941,29
941,38
941,39
940,1
940,18
940,28
940,31
940,35
940,37
939,8
939,11
939,15
939,17
939,26
939,43
938,5
938,9
938,12
938,19
938,30
938,35
937,13
937,15
937,21
937,25
937,36
937,41
936,1
936,3
936,12
936,16
936,20
936,35
935,2
935,12
935,14
935,26
935,38
935,43
934,3
934,7
934,16
934,17
934,20
934,32
933,5
933,9
933,20
933,21
933,31
933,41
932,4
932,15
932,30
932,37
932,42
932,43
931,14
931,18
931,19
931,24
931,25
931,33
930,10
930,12
930,37
930,39
930,40
930,43
929,10
929,12
929,15
929,25
929,31
929,34
928,1
928,21
928,23
928,26
928,31
928,33
927,2
927,29
927,30
927,31
927,33
927,34
926,16
926,26
926,32
926,35
926,37
926,39
925,25
925,26
925,27
925,28
925,32
925,37
924,13
924,20
924,24
924,32
924,35
924,42
923,5
923,13
923,30
923,31
923,32
923,35
922,4
922,6
922,19
922,32
922,33
922,38
921,5
921,7
921,26
921,36
921,38
921,39
920,9
920,17
920,27
920,30
920,35
920,38
919,2
919,9
919,12
919,17
919,33
919,42
918,10
918,15
918,25
918,29
918,34
918,36
917,2
917,6
917,25
917,26
917,41
917,42
916,6
916,14
916,25
916,27
916,38
916,43
915,7
915,12
915,21
915,33
915,38
915,40
914,2
914,3
914,26
914,33
914,36
914,40
913,5
913,8
913,20
913,31
913,36
913,41
912,5
912,14
912,19
912,20
912,32
912,42
911,8
911,16
911,18
911,22
911,27
911,35
910,11
910,12
910,13
910,17
910,25
910,33
909,12
909,15
909,21
909,27
909,30
909,35
908,6
908,14
908,21
908,22
908,23
908,30
907,5
907,13
907,18
907,22
907,27
907,41
906,6
906,9
906,12
906,13
906,30
906,40
905,4
905,15
905,24
905,40
905,41
905,42
904,2
904,4
904,6
904,15
904,21
904,41
903,1
903,3
903,6
903,7
903,16
903,19
902,11
902,21
902,26
902,31
902,32
902,33
901,6
901,13
901,22
901,28
901,29
901,37
900,8
900,12
900,21
900,22
900,31
900,35
899,3
899,10
899,15
899,18
899,27
899,40
898,13
898,17
898,21
898,25
898,29
898,37
897,8
897,10
897,14
897,15
897,27
897,30
896,5
896,6
896,21
896,27
896,32
896,38
895,5
895,12
895,24
895,25
895,37
895,38
894,4
894,5
894,9
894,20
894,21
894,32
893,10
893,12
893,26
893,28
893,29
893,37
892,14
892,19
892,31
892,35
892,40
892,43
891,7
891,9
891,14
891,30
891,42
891,43
890,1
890,4
890,6
890,14
890,28
890,31
889,2
889,10
889,21
889,28
889,41
889,43
888,2
888,4
888,9
888,36
888,37
888,39
887,3
887,4
887,6
887,18
887,32
887,37
886,7
886,10
886,13
886,23
886,34
886,39
885,22
885,28
885,33
885,36
885,37
885,41
884,2
884,7
884,25
884,26
884,38
884,42
883,10
883,16
883,25
883,29
883,38
883,42
882,5
882,15
882,23
882,26
882,30
882,36
881,4
881,6
881,12
881,18
881,28
881,41
880,1
880,8
880,11
880,16
880,25
880,32
879,24
879,27
879,34
879,35
879,36
879,43
878,5
878,14
878,16
878,22
878,25
878,40
877,3
877,14
877,17
877,32
877,35
877,43
876,11
876,12
876,18
876,25
876,35
876,39
875,4
875,5
875,11
875,13
875,22
875,25
874,2
874,8
874,21
874,27
874,33
874,37
873,4
873,22
873,26
873,27
873,32
873,43
872,6
872,10
872,17
872,18
872,19
872,24
871,3
871,10
871,11
871,13
871,20
871,27
870,1
870,11
870,14
870,21
870,23
870,39
869,5
869,7
869,23
869,24
869,37
869,38
868,5
868,18
868,19
868,26
868,31
868,43
867,2
867,14
867,21
867,26
867,37
867,38
866,1
866,3
866,10
866,21
866,29
866,43
865,5
865,7
865,8
865,12
865,23
865,25
864,19
864,21
864,24
864,28
864,32
864,40
863,4
863,14
863,18
863,26
863,35
863,36
862,5
862,10
862,16
862,34
862,36
862,39
861,4
861,17
861,21
861,28
861,35
861,42
860,14
860,16
860,32
860,35
860,38
860,41
859,1
859,12
859,15
859,17
859,21
859,36
858,3
858,14
858,29
858,32
858,33
858,42
857,1
857,3
857,6
857,17
857,28
857,42
856,10
856,24
856,32
856,34
856,38
856,40
855,10
855,13
855,15
855,25
855,37
855,42
854,4
854,11
854,14
854,18
854,25
854,37
853,2
853,9
853,22
853,26
853,31
853,35
852,3
852,17
852,22
852,23
852,27
852,40
851,5
851,8
851,14
851,20
851,26
851,27
850,2
850,11
850,30
850,32
850,38
850,41
849,1
849,3
849,4
849,10
849,15
849,40
848,6
848,7
848,13
848,15
848,35
848,39
847,9
847,10
847,23
847,31
847,35
847,36
846,9
846,14
846,18
846,28
846,30
846,33
845,2
845,12
845,13
845,22
845,24
845,34
844,2
844,5
844,18
844,27
844,35
844,38
843,3
843,7
843,8
843,26
843,42
843,43
842,8
842,11
842,17
842,26
842,33
842,43
841,8
841,22
841,24
841,28
841,31
841,36
840,3
840,4
840,17
840,24
840,27
840,34
839,1
839,3
839,5
839,12
839,13
839,38
838,12
838,28
838,32
838,36
838,38
838,43
837,5
837,17
837,34
837,37
837,39
837,42
836,7
836,11
836,31
836,34
836,38
836,43
835,5
835,9
835,10
835,28
835,39
835,40
834,4
834,17
834,27
834,39
834,41
834,42
833,5
833,6
833,13
833,20
833,22
833,28
832,19
832,24
832,27
832,31
832,32
832,33
831,3
831,4
831,7
831,13
831,22
831,31
830,5
830,6
830,9
830,18
830,28
830,40
829,2
829,3
829,23
829,32
829,36
829,39
828,2
828,9
828,10
828,24
828,25
828,43
827,2
827,4
827,23
827,24
827,33
827,41
826,5
826,15
826,22
826,24
826,29
826,36
825,6
825,10
825,12
825,16
825,39
825,40
824,16
824,19
824,26
824,27
824,29
824,32
823,5
823,6
823,23
823,30
823,37
823,38
822,6
822,11
822,15
822,24
822,27
822,33
821,7
821,10
821,12
821,34
821,40
821,43
820,1
820,11
820,19
820,28
820,39
820,43
819,10
819,19
819,23
819,25
819,30
819,40
818,5
818,21
818,24
818,34
818,37
818,38
817,16
817,21
817,27
817,32
817,34
817,43
816,5
816,14
816,19
816,24
816,27
816,37
815,1
815,2
815,6
815,24
815,25
815,41
814,4
814,7
814,15
814,23
814,38
814,42
813,9
813,10
813,12
813,13
813,28
813,38
812,1
812,12
812,15
812,26
812,34
812,40
811,2
811,6
811,20
811,24
811,31
811,40
810,3
810,31
810,32
810,38
810,39
810,40
809,2
809,11
809,20
809,31
809,32
809,37
808,13
808,18
808,22
808,28
808,41
808,42
807,1
807,6
807,12
807,20
807,22
807,23
806,3
806,16
806,19
806,25
806,39
806,40
805,2
805,14
805,19
805,22
805,24
805,43
804,6
804,20
804,23
804,25
804,31
804,33
803,9
803,29
803,33
803,34
803,35
803,41
802,9
802,13
802,18
802,19
802,25
802,30
801,2
801,18
801,19
801,20
801,25
801,31
800,8
800,12
800,22
800,23
800,25
800,35
799,4
799,6
799,8
799,10
799,19
799,28
798,1
798,3
798,5
798,25
798,39
798,41
797,1
797,4
797,13
797,18
797,23
797,39
796,1
796,7
796,11
796,14
796,22
796,34
795,13
795,19
795,24
795,28
795,33
795,38
794,15
794,22
794,25
794,29
794,34
794,42
793,10
793,13
793,14
793,19
793,26
793,43
792,1
792,7
792,14
792,25
792,37
792,43
791,1
791,10
791,22
791,24
791,34
791,37
790,9
790,13
790,19
790,27
790,34
790,38
789,12
789,17
789,29
789,32
789,38
789,40
788,2
788,8
788,13
788,27
788,31
788,32
787,4
787,5
787,13
787,21
787,33
787,34
786,10
786,11
786,17
786,31
786,35
786,39
785,1
785,9
785,18
785,20
785,24
785,29
784,1
784,9
784,23
784,29
784,37
784,41
783,9
783,14
783,22
783,24
783,25
783,32
782,19
782,21
782,23
782,24
782,27
782,43
781,5
781,6
781,15
781,23
781,40
781,43
780,6
780,7
780,12
780,26
780,39
780,43
779,10
779,13
779,27
779,34
779,36
779,39
778,5
778,11
778,17
778,24
778,35
778,41
777,15
777,16
777,23
777,29
777,37
777,39
776,2
776,8
776,14
776,23
776,28
776,42
775,1
775,2
775,21
775,22
775,37
775,38
774,2
774,4
774,9
774,13
774,16
774,33
773,4
773,7
773,10
773,11
773,12
773,32
772,7
772,11
772,16
772,19
772,20
772,23
771,15
771,21
771,31
771,32
771,33
771,34
770,17
770,19
770,21
770,22
770,36
770,37
769,1
769,2
769,4
769,16
769,17
769,38
768,1
768,8
768,19
768,25
768,32
768,38
767,2
767,6
767,11
767,27
767,29
767,37
766,6
766,10
766,12
766,32
766,37
766,39
765,4
765,14
765,17
765,22
765,26
765,41
764,6
764,7
764,24
764,34
764,42
764,43
763,6
763,8
763,10
763,21
763,39
763,42
762,6
762,8
762,9
762,20
762,24
762,27
761,8
761,10
761,11
761,12
761,20
761,40
760,3
760,4
760,6
760,15
760,32
760,40
759,14
759,22
759,25
759,28
759,37
759,41
758,11
758,19
758,20
758,25
758,38
758,40
757,4
757,10
757,14
757,19
757,35
757,38
756,8
756,10
756,24
756,26
756,27
756,28
755,10
755,16
755,20
755,25
755,29
755,39
754,16
754,27
754,33
754,35
754,39
754,41
753,2
753,4
753,11
753,15
753,20
753,38
752,3
752,5
752,13
752,18
752,22
752,37
751,13
751,16
751,21
751,25
751,31
751,38
750,4
750,6
750,13
750,16
750,18
750,39
749,7
749,8
749,11
749,13
749,23
749,40
748,2
748,14
748,16
748,27
748,28
748,30
747,8
747,19
747,20
747,23
747,24
747,35
746,6
746,9
746,10
746,29
746,31
746,35
745,8
745,12
745,16
745,23
745,33
745,34
744,2
744,5
744,12
744,14
744,30
744,42
743,3
743,4
743,8
743,10
743,14
743,37
742,2
742,12
742,13
742,14
742,22
742,35
741,8
741,11
741,15
741,29
741,36
741,43
740,8
740,9
740,15
740,26
740,37
740,40
739,11
739,13
739,18
739,20
739,28
739,38
738,14
738,21
738,22
738,32
738,33
738,41
737,6
737,10
737,21
737,24
737,27
737,39
736,2
736,14
736,17
736,19
736,38
736,43
735,5
735,12
735,19
735,22
735,32
735,39
734,10
734,19
734,22
734,27
734,29
734,39
733,5
733,13
733,14
733,26
733,37
733,38
732,20
732,33
732,35
732,36
732,37
732,38
731,6
731,7
731,23
731,25
731,38
731,42
730,10
730,15
730,21
730,22
730,33
730,35
729,2
729,10
729,16
729,18
729,27
729,42
728,10
728,15
728,22
728,23
728,38
728,42
727,3
727,24
727,26
727,27
727,39
727,41
726,13
726,21
726,30
726,31
726,37
726,40
725,5
725,6
725,7
725,20
725,31
725,41
724,4
724,9
724,32
724,37
724,38
724,39
723,16
723,27
723,28
723,36
723,39
723,42
722,6
722,11
722,32
722,34
722,35
722,39
721,1
721,14
721,23
721,24
721,27
721,40
720,25
720,26
720,27
720,28
720,35
720,38
719,11
719,14
719,27
719,31
719,34
719,42
718,15
718,20
718,27
718,29
718,33
718,43
717,13
717,14
717,16
717,21
717,29
717,42
716,5
716,7
716,14
716,24
716,25
716,35
715,5
715,10
715,12
715,25
715,28
715,31
714,2
714,14
714,26
714,28
714,29
714,42
713,19
713,20
713,21
713,24
713,25
713,26
712,2
712,5
712,8
712,9
712,14
712,25
711,5
711,11
711,15
711,24
711,34
711,39
710,4
710,5
710,9
710,20
710,33
710,37
709,1
709,11
709,13
709,29
709,37
709,39
708,2
708,13
708,20
708,22
708,25
708,38
707,8
707,15
707,21
707,32
707,40
707,41
706,2
706,8
706,29
706,31
706,34
706,37
705,14
705,15
705,16
705,18
705,20
705,33
704,7
704,10
704,16
704,18
704,19
704,37
703,20
703,24
703,27
703,28
703,38
703,41
702,1
702,20
702,23
702,37
702,38
702,40
701,20
701,22
701,24
701,32
701,36
701,39
700,1
700,8
700,17
700,24
700,33
700,35
699,12
699,13
699,21
699,25
699,29
699,32
698,5
698,20
698,21
698,26
698,30
698,33
697,2
697,12
697,14
697,18
697,40
697,41
696,2
696,10
696,14
696,19
696,36
696,39
695,4
695,7
695,11
695,12
695,13
695,19
694,8
694,23
694,27
694,31
694,38
694,40
693,4
693,14
693,18
693,22
693,32
693,35
692,9
692,10
692,12
692,19
692,21
692,42
691,4
691,7
691,8
691,15
691,16
691,42
690,7
690,8
690,10
690,21
690,34
690,38
689,6
689,8
689,12
689,17
689,24
689,31
688,9
688,12
688,16
688,33
688,34
688,35
687,16
687,20
687,27
687,33
687,40
687,42
686,21
686,24
686,26
686,35
686,37
686,38
685,12
685,23
685,27
685,32
685,39
685,43
684,6
684,7
684,13
684,18
684,27
684,33
683,16
683,24
683,29
683,32
683,35
683,38
682,3
682,5
682,7
682,18
682,19
682,41
681,1
681,11
681,13
681,30
681,37
681,41
680,8
680,9
680,23
680,34
680,38
680,41
679,4
679,5
679,7
679,37
679,41
679,42
678,8
678,24
678,25
678,29
678,32
678,40
677,4
677,11
677,22
677,31
677,32
677,35
676,2
676,8
676,20
676,33
676,38
676,42
675,8
675,10
675,15
675,21
675,24
675,34
674,8
674,11
674,15
674,22
674,40
674,41
673,2
673,6
673,16
673,27
673,28
673,29
672,1
672,5
672,23
672,24
672,36
672,43
671,5
671,10
671,14
671,16
671,23
671,38
670,1
670,4
670,7
670,25
670,32
670,41
669,4
669,6
669,10
669,17
669,24
669,33
668,7
668,13
668,20
668,27
668,34
668,35
667,21
667,31
667,34
667,37
667,39
667,40
666,2
666,6
666,28
666,30
666,31
666,41
665,13
665,22
665,27
665,29
665,36
665,37
664,2
664,8
664,11
664,12
664,26
664,29
663,13
663,18
663,21
663,30
663,33
663,40
662,12
662,31
662,32
662,34
662,36
662,40
661,6
661,9
661,17
661,20
661,33
661,40
660,8
660,20
660,31
660,36
660,37
660,38
659,21
659,30
659,35
659,39
659,41
659,42
658,14
658,24
658,32
658,40
658,41
658,42
657,3
657,20
657,29
657,33
657,34
657,40
656,2
656,8
656,13
656,17
656,25
656,37
655,5
655,10
655,23
655,26
655,28
655,29
654,12
654,18
654,21
654,29
654,32
654,38
653,13
653,21
653,22
653,26
653,29
653,36
652,1
652,10
652,16
652,19
652,20
652,39
651,4
651,15
651,17
651,34
651,38
651,40
650,12
650,31
650,34
650,40
650,41
650,43
649,14
649,22
649,29
649,33
649,36
649,40
648,22
648,26
648,27
648,28
648,36
648,43
647,2
647,7
647,15
647,22
647,36
647,43
646,9
646,12
646,14
646,24
646,28
646,33
645,3
645,10
645,12
645,32
645,33
645,43
644,4
644,14
644,22
644,23
644,26
644,42
643,2
643,6
643,21
643,31
643,35
643,37
642,8
642,13
642,14
642,21
642,33
642,41
641,3
641,14
641,21
641,24
641,26
641,29
640,3
640,11
640,18
640,20
640,33
640,39
639,1
639,16
639,20
639,24
639,33
639,34
638,6
638,11
638,19
638,28
638,35
638,40
637,7
637,12
637,16
637,28
637,31
637,34
636,2
636,12
636,21
636,23
636,24
636,26
635,8
635,11
635,12
635,15
635,41
635,43
634,8
634,10
634,13
634,15
634,20
634,40
633,7
633,9
633,11
633,14
633,15
633,18
632,3
632,4
632,14
632,21
632,22
632,25
631,2
631,5
631,7
631,10
631,36
631,40
630,3
630,7
630,13
630,18
630,19
630,41
629,6
629,16
629,21
629,30
629,34
629,43
628,7
628,13
628,15
628,18
628,29
628,38
627,2
627,4
627,7
627,19
627,34
627,42
626,6
626,13
626,14
626,22
626,26
626,28
625,5
625,17
625,26
625,37
625,39
625,42
624,4
624,8
624,12
624,22
624,25
624,30
623,7
623,8
623,16
623,35
623,39
623,42
622,7
622,16
622,18
622,20
622,27
622,36
621,6
621,15
621,16
621,28
621,36
621,40
620,7
620,10
620,13
620,19
620,31
620,38
619,2
619,11
619,29
619,31
619,33
619,38
618,4
618,15
618,21
618,31
618,35
618,42
617,5
617,8
617,18
617,28
617,34
617,35
616,4
616,7
616,18
616,19
616,24
616,35
615,6
615,16
615,24
615,32
615,36
615,43
614,2
614,6
614,22
614,25
614,31
614,42
613,2
613,6
613,18
613,26
613,32
613,37
612,7
612,18
612,31
612,32
612,39
612,40
611,10
611,12
611,14
611,24
611,34
611,39
610,2
610,5
610,12
610,23
610,26
610,41
609,18
609,24
609,36
609,37
609,39
609,41
608,4
608,6
608,16
608,17
608,18
608,26
607,2
607,3
607,8
607,12
607,20
607,21
606,8
606,15
606,24
606,26
606,35
606,42
605,1
605,4
605,13
605,25
605,38
605,43
604,9
604,15
604,20
604,22
604,28
604,43
603,3
603,8
603,18
603,21
603,23
603,42
602,8
602,13
602,15
602,18
602,24
602,41
601,6
601,22
601,25
601,26
601,30
601,39
600,3
600,20
600,23
600,24
600,28
600,35
599,1
599,2
599,8
599,13
599,27
599,39
598,6
598,10
598,15
598,21
598,36
598,41
597,3
597,4
597,7
597,13
597,16
597,23
596,2
596,13
596,17
596,24
596,29
596,34
595,1
595,5
595,15
595,22
595,39
595,40
594,4
594,5
594,15
594,30
594,34
594,38
593,2
593,10
593,16
593,26
593,29
593,30
592,12
592,14
592,22
592,23
592,34
592,41
591,1
591,13
591,16
591,22
591,27
591,33
590,20
590,24
590,25
590,27
590,32
590,37
589,1
589,9
589,10
589,28
589,41
589,42
588,8
588,13
588,18
588,33
588,34
588,36
587,10
587,12
587,18
587,27
587,33
587,40
586,6
586,7
586,10
586,23
586,36
586,42
585,1
585,28
585,32
585,34
585,41
585,42
584,10
584,11
584,24
584,26
584,37
584,38
583,2
583,12
583,17
583,18
583,40
583,43
582,7
582,10
582,14
582,25
582,32
582,38
581,5
581,22
581,28
581,29
581,35
581,39
580,12
580,15
580,17
580,25
580,35
580,43
579,6
579,8
579,17
579,19
579,23
579,42
578,16
578,22
578,23
578,27
578,33
578,37
577,3
577,12
577,29
577,31
577,36
577,37
576,8
576,9
576,21
576,24
576,29
576,37
575,4
575,11
575,17
575,21
575,23
575,30
574,4
574,11
574,16
574,20
574,26
574,43
573,3
573,5
573,21
573,30
573,37
573,38
572,10
572,12
572,18
572,38
572,42
572,43
571,6
571,20
571,21
571,23
571,33
571,38
570,2
570,4
570,10
570,28
570,38
570,43
569,4
569,19
569,21
569,25
569,28
569,40
568,7
568,10
568,15
568,31
568,32
568,42
567,7
567,13
567,17
567,23
567,28
567,34
566,10
566,17
566,18
566,29
566,30
566,41
565,3
565,6
565,8
565,21
565,28
565,32
564,3
564,12
564,18
564,24
564,34
564,39
563,4
563,5
563,26
563,28
563,34
563,38
562,9
562,10
562,11
562,25
562,30
562,37
561,4
561,14
561,30
561,35
561,40
561,41
560,4
560,17
560,19
560,37
560,39
560,42
559,2
559,7
559,16
559,25
559,26
559,43
558,4
558,32
558,33
558,38
558,41
558,43
557,6
557,18
557,23
557,32
557,38
557,43
556,6
556,9
556,13
556,17
556,29
556,30
555,2
555,3
555,7
555,9
555,36
555,42
554,16
554,27
554,34
554,35
554,36
554,38
553,3
553,9
553,11
553,15
553,27
553,37
552,13
552,22
552,26
552,30
552,40
552,41
551,15
551,16
551,19
551,21
551,26
551,42
550,12
550,15
550,19
550,32
550,36
550,42
549,5
549,14
549,27
549,29
549,32
549,33
548,12
548,13
548,16
548,28
548,29
548,35
547,6
547,10
547,11
547,30
547,32
547,39
546,1
546,14
546,30
546,34
546,40
546,43
545,16
545,21
545,24
545,28
545,32
545,36
544,11
544,14
544,16
544,32
544,41
544,42
543,15
543,17
543,18
543,19
543,22
543,31
542,10
542,14
542,23
542,35
542,38
542,41
541,3
541,4
541,5
541,28
541,34
541,43
540,15
540,23
540,29
540,35
540,36
540,41
539,3
539,10
539,13
539,17
539,18
539,28
538,2
538,11
538,14
538,23
538,26
538,33
537,10
537,18
537,22
537,24
537,26
537,37
536,4
536,10
536,12
536,14
536,23
536,36
535,6
535,14
535,23
535,24
535,27
535,32
534,1
534,2
534,19
534,22
534,26
534,37
533,6
533,16
533,24
533,31
533,41
533,43
532,23
532,28
532,33
532,35
532,37
532,42
531,5
531,12
531,16
531,24
531,26
531,33
530,1
530,10
530,19
530,30
530,33
530,36
529,6
529,19
529,21
529,24
529,31
529,41
528,2
528,5
528,12
528,21
528,28
528,32
527,5
527,7
527,12
527,23
527,39
527,41
526,8
526,14
526,18
526,19
526,26
526,27
525,1
525,11
525,17
525,28
525,33
525,38
524,7
524,11
524,14
524,18
524,35
524,40
523,7
523,8
523,26
523,27
523,41
523,43
522,3
522,6
522,16
522,23
522,25
522,43
521,1
521,8
521,15
521,21
521,23
521,30
520,2
520,4
520,12
520,14
520,26
520,43
519,1
519,13
519,25
519,29
519,30
519,33
518,14
518,31
518,34
518,35
518,40
518,42
517,6
517,10
517,13
517,14
517,28
517,37
516,2
516,14
516,16
516,17
516,29
516,30
515,2
515,3
515,23
515,25
515,33
515,35
514,6
514,7
514,14
514,15
514,19
514,41
513,1
513,6
513,12
513,14
513,15
513,19
512,14
512,20
512,23
512,25
512,33
512,39
511,4
511,22
511,23
511,27
511,38
511,43
510,12
510,15
510,26
510,35
510,41
510,43
509,3
509,4
509,12
509,18
509,27
509,28
508,1
508,7
508,14
508,15
508,24
508,42
507,5
507,14
507,19
507,21
507,28
507,31
506,5
506,11
506,21
506,27
506,37
506,39
505,19
505,21
505,27
505,33
505,34
505,43
504,12
504,21
504,22
504,27
504,29
504,31
503,1
